GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2021
" ""18135""","Randolph, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,106.506
" ""18135""","Randolph, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,958769
" ""18137""","Ripley, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1104168
" ""18137""","Ripley, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,102.285
" ""18137""","Ripley, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1296592
" ""18139""","Rush, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,588668
" ""18139""","Rush, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,123.843
" ""18139""","Rush, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,722542
" ""18141""","St. Joseph, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,13037623
" ""18141""","St. Joseph, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,113.627
" ""18141""","St. Joseph, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,15740655
" ""18143""","Scott, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,661772
" ""18143""","Scott, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,122.87
" ""18143""","Scott, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,788540
" ""18145""","Shelby, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1827196
" ""18145""","Shelby, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,113.145
" ""18145""","Shelby, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2208610
" ""18147""","Spencer, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,870680
" ""18147""","Spencer, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,63.013
" ""18147""","Spencer, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1111952
" ""18149""","Starke, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,459518
" ""18149""","Starke, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,114.675
" ""18149""","Starke, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,565659
" ""18151""","Steuben, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1396932
" ""18151""","Steuben, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,117.669
" ""18151""","Steuben, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1663314
" ""18153""","Sullivan, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,894128
" ""18153""","Sullivan, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,85.349
" ""18153""","Sullivan, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1056536
" ""18155""","Switzerland, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,184060
" ""18155""","Switzerland, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,82.044
" ""18155""","Switzerland, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,238315
" ""18157""","Tippecanoe, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,9068546
" ""18157""","Tippecanoe, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,123.715
" ""18157""","Tippecanoe, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,10779671
" ""18159""","Tipton, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,613167
" ""18159""","Tipton, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,144.91
" ""18159""","Tipton, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,701043
" ""18161""","Union, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,130573
" ""18161""","Union, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,104.866
" ""18161""","Union, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,167880
" ""18163""","Vanderburgh, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,10192662
" ""18163""","Vanderburgh, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,103.536
" ""18163""","Vanderburgh, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,12346968
" ""18165""","Vermillion, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,798386
" ""18165""","Vermillion, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,108.959
" ""18165""","Vermillion, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1032822
" ""18167""","Vigo, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,4295965
" ""18167""","Vigo, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,99.113
" ""18167""","Vigo, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,5094465
" ""18169""","Wabash, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1189998
" ""18169""","Wabash, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,109.796
" ""18169""","Wabash, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1408022
" ""18171""","Warren, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,289690
" ""18171""","Warren, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,119.328
" ""18171""","Warren, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,353987
" ""18173""","Warrick, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2338214
" ""18173""","Warrick, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,116.367
" ""18173""","Warrick, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2812334
" ""18175""","Washington, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,619667
" ""18175""","Washington, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,118.271
" ""18175""","Washington, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,736431
" ""18177""","Wayne, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2543313
" ""18177""","Wayne, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,103.88
" ""18177""","Wayne, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3093331
" ""18179""","Wells, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1109044
" ""18179""","Wells, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,111.325
" ""18179""","Wells, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1274389
" ""18181""","White, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1017099
" ""18181""","White, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,123.574
" ""18181""","White, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1229348
" ""18183""","Whitley, IN",3,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1660774
" ""18183""","Whitley, IN",3,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,152.979
" ""18183""","Whitley, IN",3,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1967086
" ""19000""",Iowa,4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,179752962
" ""19000""",Iowa,4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,113.381
" ""19000""",Iowa,4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,216860235
" ""19001""","Adair, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,430503
" ""19001""","Adair, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,147.556
" ""19001""","Adair, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,560525
" ""19003""","Adams, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,207934
" ""19003""","Adams, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,128.397
" ""19003""","Adams, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,249854
" ""19005""","Allamakee, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,573076
" ""19005""","Allamakee, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,108.649
" ""19005""","Allamakee, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,679645
" ""19007""","Appanoose, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,395869
" ""19007""","Appanoose, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,111.221
" ""19007""","Appanoose, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,488192
" ""19009""","Audubon, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,290891
" ""19009""","Audubon, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,129.419
" ""19009""","Audubon, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,344505
" ""19011""","Benton, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,901547
" ""19011""","Benton, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,129.491
" ""19011""","Benton, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1137286
" ""19013""","Black Hawk, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,7513102
" ""19013""","Black Hawk, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,87.55
" ""19013""","Black Hawk, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,9258520
" ""19015""","Boone, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1006742
" ""19015""","Boone, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,105.161
" ""19015""","Boone, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1229603
" ""19017""","Bremer, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1043942
" ""19017""","Bremer, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,104.522
" ""19017""","Bremer, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1268341
" ""19019""","Buchanan, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,749966
" ""19019""","Buchanan, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,108.689
" ""19019""","Buchanan, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,925769
" ""19021""","Buena Vista, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1311448
" ""19021""","Buena Vista, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,107.056
" ""19021""","Buena Vista, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1508644
" ""19023""","Butler, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,494350
" ""19023""","Butler, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,100.683
" ""19023""","Butler, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,615243
" ""19025""","Calhoun, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,424983
" ""19025""","Calhoun, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,104.794
" ""19025""","Calhoun, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,493683
" ""19027""","Carroll, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1246071
" ""19027""","Carroll, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,106.139
" ""19027""","Carroll, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1498110
" ""19029""","Cass, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,622321
" ""19029""","Cass, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,107.182
" ""19029""","Cass, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,785045
" ""19031""","Cedar, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,640559
" ""19031""","Cedar, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,109.245
" ""19031""","Cedar, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,772054
" ""19033""","Cerro Gordo, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2240617
" ""19033""","Cerro Gordo, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,100.965
" ""19033""","Cerro Gordo, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2756909
" ""19035""","Cherokee, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,648133
" ""19035""","Cherokee, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,104.471
" ""19035""","Cherokee, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,756444
" ""19037""","Chickasaw, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,627968
" ""19037""","Chickasaw, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,117.314
" ""19037""","Chickasaw, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,742846
" ""19039""","Clarke, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,384201
" ""19039""","Clarke, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,114.387
" ""19039""","Clarke, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,460236
" ""19041""","Clay, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1029992
" ""19041""","Clay, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,112.275
" ""19041""","Clay, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1209330
" ""19043""","Clayton, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,820076
" ""19043""","Clayton, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,121.331
" ""19043""","Clayton, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,965461
" ""19045""","Clinton, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2120001
" ""19045""","Clinton, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,94.231
" ""19045""","Clinton, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2636730
" ""19047""","Crawford, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,720962
" ""19047""","Crawford, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,87.731
" ""19047""","Crawford, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,876888
" ""19049""","Dallas, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,5228612
" ""19049""","Dallas, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,135.546
" ""19049""","Dallas, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,6631222
" ""19051""","Davis, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,237836
" ""19051""","Davis, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,111.409
" ""19051""","Davis, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,297339
" ""19053""","Decatur, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,189054
" ""19053""","Decatur, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,107.798
" ""19053""","Decatur, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,234102
" ""19055""","Delaware, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,881490
" ""19055""","Delaware, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,126.271
" ""19055""","Delaware, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1015824
" ""19057""","Des Moines, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1936224
" ""19057""","Des Moines, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,104.93
" ""19057""","Des Moines, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2377828
" ""19059""","Dickinson, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1067394
" ""19059""","Dickinson, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,124.407
" ""19059""","Dickinson, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1298100
" ""19061""","Dubuque, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,6428433
" ""19061""","Dubuque, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,117.303
" ""19061""","Dubuque, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,7840579
" ""19063""","Emmet, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,391097
" ""19063""","Emmet, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,90.25
" ""19063""","Emmet, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,461536
" ""19065""","Fayette, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,725623
" ""19065""","Fayette, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,101.656
" ""19065""","Fayette, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,869257
" ""19067""","Floyd, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,761194
" ""19067""","Floyd, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,125.376
" ""19067""","Floyd, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,922202
" ""19069""","Franklin, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,641618
" ""19069""","Franklin, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,113.499
" ""19069""","Franklin, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,725681
" ""19071""","Fremont, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,324019
" ""19071""","Fremont, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,92.497
" ""19071""","Fremont, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,425743
" ""19073""","Greene, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,526462
" ""19073""","Greene, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,122.711
" ""19073""","Greene, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,631952
" ""19075""","Grundy, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,539002
" ""19075""","Grundy, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,107.645
" ""19075""","Grundy, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,671119
" ""19077""","Guthrie, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,443362
" ""19077""","Guthrie, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,108.141
" ""19077""","Guthrie, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,542596
" ""19079""","Hamilton, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,768177
" ""19079""","Hamilton, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,113.661
" ""19079""","Hamilton, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,869800
" ""19081""","Hancock, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,837089
" ""19081""","Hancock, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,112.701
" ""19081""","Hancock, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,927131
" ""19083""","Hardin, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,793480
" ""19083""","Hardin, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,87.862
" ""19083""","Hardin, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,920837
" ""19085""","Harrison, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,437446
" ""19085""","Harrison, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,98.602
" ""19085""","Harrison, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,568516
" ""19087""","Henry, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,892825
" ""19087""","Henry, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,111.687
" ""19087""","Henry, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1077010
" ""19089""","Howard, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,484258
" ""19089""","Howard, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,107.726
" ""19089""","Howard, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,553745
" ""19091""","Humboldt, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,459208
" ""19091""","Humboldt, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,102.721
" ""19091""","Humboldt, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,538062
" ""19093""","Ida, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,563854
" ""19093""","Ida, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,144.657
" ""19093""","Ida, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,756613
" ""19095""","Iowa, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1102128
" ""19095""","Iowa, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,125.636
" ""19095""","Iowa, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1300665
" ""19097""","Jackson, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,618355
" ""19097""","Jackson, IA",4,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,113.563
" ""19097""","Jackson, IA",4,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,743673
" ""19099""","Jasper, IA",4,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1159870
